"code","name","years","year","age","mx","mx_f","mx_m","lx","lx_f","lx_m","ex","ex_f","ex_m","Total","Male","Female","best_practice","best_practice_alt"
"BLR","Belarus","(1955,1960]",1958,87,0.14004,0.131085,0.1606,0.19333,0.23987,0.129615,5.465,5.75,4.815,3989.045,1222.945,2766.1,0,1
"BLR","Belarus","(1955,1960]",1958,88,0.147185,0.12907,0.190785,0.16847,0.210905,0.110605,5.205,5.48,4.565,3646.64,1056.4,2590.24,0,1
"BLR","Belarus","(1955,1960]",1958,89,0.136535,0.1275,0.160095,0.145505,0.185485,0.091455,4.95,5.165,4.42,3279.67,903.1,2376.57,0,1
"BLR","Belarus","(1955,1960]",1958,92,0.18168,0.171645,0.21004,0.0837,0.109465,0.049065,4.565,4.765,4.045,1272.85,308.775,964.075,0,1
"BLR","Belarus","(1955,1960]",1958,95,0.214045,0.203945,0.24565,0.047625,0.064315,0.025395,4.005,4.16,3.555,850.42,195.13,655.29,0,1
"BLR","Belarus","(1955,1960]",1958,96,0.22573,0.21566,0.25839,0.038665,0.05279,0.01991,3.835,3.98,3.405,596.015,152.35,443.665,0,1
"BLR","Belarus","(1955,1960]",1958,97,0.237865,0.22785,0.271555,0.031045,0.04287,0.015405,3.675,3.81,3.27,478.53,110.265,368.265,0,1
"BLR","Belarus","(1955,1960]",1958,98,0.25044,0.240505,0.28513,0.02465,0.034435,0.011765,3.525,3.65,3.135,390.29,80.465,309.825,0,1
"BLR","Belarus","(1955,1960]",1958,99,0.263455,0.25363,0.29911,0.019345,0.027345,0.00886,3.385,3.49,3.01,263.18,60.41,202.77,0,1
"BLR","Belarus","(1955,1960]",1958,100,0.2769,0.267205,0.313475,0.015,0.021465,0.006585,3.245,3.345,2.89,200.39,45.015,155.375,0,1
"BLR","Belarus","(1955,1960]",1958,101,0.29076,0.281225,0.328215,0.011495,0.016645,0.00482,3.115,3.205,2.785,151.1,33.195,117.905,0,1
"BLR","Belarus","(1955,1960]",1958,102,0.30503,0.29568,0.34329,0.00869,0.012755,0.003475,2.99,3.08,2.675,112.8,24.045,88.755,0,1
"BLR","Belarus","(1955,1960]",1958,103,0.31969,0.310535,0.3587,0.00649,0.009645,0.002465,2.88,2.96,2.58,83.72,17.415,66.305,0,1
"BLR","Belarus","(1955,1960]",1958,104,0.33471,0.325785,0.374405,0.004785,0.007205,0.001725,2.775,2.845,2.485,61.48,12.62,48.86,0,1
"BLR","Belarus","(1955,1960]",1958,105,0.35008,0.3414,0.390385,0.003475,0.00531,0.001185,2.675,2.74,2.4,44.13,9.13,35,0,1
"BLR","Belarus","(1955,1960]",1958,106,0.36577,0.357345,0.4066,0.002495,0.00386,0.000805,2.58,2.645,2.325,31.44,6.615,24.825,0,1
"BLR","Belarus","(1955,1960]",1958,107,0.38175,0.373605,0.423025,0.001765,0.002765,0.00053,2.505,2.56,2.25,22.53,4.55,17.98,0,1
"BLR","Belarus","(1955,1960]",1958,108,0.39799,0.39014,0.43962,0.00123,0.001955,0.00035,2.43,2.49,2.195,15.69,2.815,12.875,0,1
"BLR","Belarus","(1955,1960]",1958,109,0.41446,0.40691,0.45636,0.000845,0.001365,0.000225,2.38,2.435,2.145,10.755,1.645,9.11,0,1
"BLR","Belarus","(1960,1965]",1963,59,0.009538,0.006558,0.01452,0.83176,0.873152,0.776864,20.996,22.392,18.72,70778.732,26243.918,44534.814,0,1
"BLR","Belarus","(1960,1965]",1963,61,0.010914,0.007708,0.016786,0.810862,0.857012,0.748558,19.506,20.792,17.386,66906.208,23672.408,43233.8,0,1
"BLR","Belarus","(1960,1965]",1963,66,0.018374,0.014042,0.0258,0.745944,0.805162,0.662438,15.964,16.948,14.292,48702.82,18078.878,30623.942,0,1
"BLR","Belarus","(1960,1965]",1963,69,0.019586,0.014548,0.02829,0.697344,0.763364,0.604606,13.964,14.788,12.51,44281.432,16157.02,28124.412,0,1
"BLR","Belarus","(1960,1965]",1963,71,0.023318,0.018926,0.03131,0.657962,0.727368,0.560744,12.73,13.458,11.402,38084.782,13450.818,24633.964,0,1
"BLR","Belarus","(1960,1965]",1963,72,0.036664,0.029994,0.049716,0.642806,0.713736,0.543474,12.018,12.706,10.746,40139.24,13218.54,26920.7,0,1
"BLR","Belarus","(1960,1965]",1963,73,0.038156,0.031524,0.051822,0.619716,0.692702,0.517162,11.448,12.072,10.272,35759.222,11594.708,24164.514,0,1
"BLR","Belarus","(1960,1965]",1963,74,0.03999,0.033492,0.053764,0.596516,0.671206,0.491056,10.872,11.446,9.79,33365.874,10724.662,22641.212,0,1
"BLR","Belarus","(1960,1965]",1963,76,0.051826,0.047702,0.060582,0.542748,0.617488,0.436212,9.844,10.344,8.892,26946.936,9133.084,17813.852,0,1
"BLR","Belarus","(1960,1965]",1963,77,0.051256,0.045568,0.062264,0.515414,0.588882,0.410548,9.336,9.82,8.414,22848.292,7967.062,14881.23,0,1
"BLR","Belarus","(1960,1965]",1963,79,0.05043,0.045428,0.059878,0.4555,0.526202,0.355236,8.42,8.858,7.56,18582.454,6428.088,12154.366,0,1
"BLR","Belarus","(1960,1965]",1963,81,0.058942,0.051708,0.073802,0.3915,0.457286,0.298716,7.61,8.022,6.776,14500.958,4767.266,9733.692,0,1
"BLR","Belarus","(1960,1965]",1963,82,0.09494,0.085596,0.114548,0.36909,0.434256,0.277452,7.042,7.42,6.26,12410.512,4004.13,8406.382,0,1
"BLR","Belarus","(1960,1965]",1963,83,0.097142,0.087082,0.119086,0.335874,0.39889,0.247576,6.69,7.032,5.95,10397.3,3267.986,7129.314,0,1
"BLR","Belarus","(1960,1965]",1963,84,0.10288,0.092634,0.126154,0.304834,0.365702,0.219808,6.32,6.626,5.638,8673.35,2648.238,6025.112,0,1
"BLR","Belarus","(1960,1965]",1963,86,0.131978,0.121336,0.158038,0.240292,0.29306,0.166854,5.74,6.008,5.112,5782.834,1681.208,4101.626,0,1
"BLR","Belarus","(1960,1965]",1963,87,0.143752,0.134148,0.167838,0.210754,0.25975,0.142618,5.474,5.716,4.896,4857.52,1390.876,3466.644,0,1
"BLR","Belarus","(1960,1965]",1963,88,0.145408,0.13576,0.170078,0.18272,0.22738,0.120686,5.244,5.458,4.7,4043.22,1138.558,2904.662,0,1
"BLR","Belarus","(1960,1965]",1963,89,0.12429,0.114448,0.150058,0.158218,0.198824,0.10194,4.978,5.176,4.476,3416.902,941.328,2475.574,0,1
"BLR","Belarus","(1960,1965]",1963,92,0.18543,0.175634,0.213834,0.09413,0.121438,0.056476,4.388,4.55,3.928,1770.242,473.62,1296.622,0,1
"BLR","Belarus","(1960,1965]",1963,93,0.197568,0.187726,0.227186,0.078382,0.102126,0.045694,4.176,4.324,3.742,1411.6,360.08,1051.52,0,1
"BLR","Belarus","(1960,1965]",1963,95,0.223634,0.213792,0.255598,0.05243,0.069688,0.028756,3.786,3.908,3.4,849.274,201.19,648.084,0,1
"BLR","Belarus","(1960,1965]",1963,96,0.237562,0.227776,0.270646,0.042072,0.056478,0.02234,3.606,3.718,3.248,638.026,144.368,493.658,0,1
"BLR","Belarus","(1960,1965]",1963,97,0.252088,0.24239,0.286234,0.033308,0.045158,0.017106,3.438,3.536,3.1,503.38,110.424,392.956,0,1
"BLR","Belarus","(1960,1965]",1963,98,0.267198,0.257626,0.302342,0.026004,0.035602,0.012902,3.28,3.37,2.96,363.554,81.56,281.994,0,1
"BLR","Belarus","(1960,1965]",1963,99,0.282884,0.273464,0.318944,0.020008,0.027658,0.009582,3.126,3.208,2.832,272.564,57.248,215.316,0,1
"BLR","Belarus","(1960,1965]",1963,100,0.299122,0.289892,0.336014,0.015164,0.02116,0.007002,2.988,3.058,2.71,202.808,40.798,162.01,0,1
"BLR","Belarus","(1960,1965]",1963,101,0.315892,0.30689,0.353512,0.011312,0.01594,0.005034,2.856,2.92,2.596,144.87,28.476,116.394,0,1
"BLR","Belarus","(1960,1965]",1963,102,0.333174,0.32442,0.371406,0.008308,0.01181,0.00356,2.732,2.79,2.49,105.136,19.682,85.454,0,1
"BLR","Belarus","(1960,1965]",1963,103,0.350924,0.342448,0.38965,0.006,0.008606,0.002472,2.616,2.666,2.39,76.958,13.492,63.466,0,1
"BLR","Belarus","(1960,1965]",1963,104,0.369108,0.360936,0.408198,0.00426,0.006162,0.00169,2.504,2.55,2.296,52.53,9.014,43.516,0,1
"BLR","Belarus","(1960,1965]",1963,105,0.387684,0.379838,0.427002,0.002972,0.004336,0.001136,2.41,2.45,2.212,36.664,5.814,30.85,0,1
"BLR","Belarus","(1960,1965]",1963,106,0.406608,0.399102,0.446012,0.002038,0.003,0.000746,2.318,2.354,2.132,25.272,3.664,21.608,0,1
"BLR","Belarus","(1960,1965]",1963,107,0.425822,0.418674,0.465166,0.001372,0.002034,0.000482,2.236,2.268,2.064,16.892,2.21,14.682,0,1
"BLR","Belarus","(1960,1965]",1963,108,0.445276,0.438496,0.484418,0.000906,0.001356,0.000308,2.166,2.196,2.002,11.212,1.348,9.864,0,1
"BLR","Belarus","(1960,1965]",1963,109,0.464912,0.458504,0.503704,0.000588,0.000886,0.00019,2.11,2.142,1.952,7.276,0.826,6.45,0,1
"BLR","Belarus","(1965,1970]",1968,69,0.025812,0.020122,0.03666,0.702358,0.776386,0.600588,13.896,14.896,12.174,50474.646,17376.834,33097.812,0,1
"BLR","Belarus","(1965,1970]",1968,71,0.030706,0.024786,0.04119,0.660582,0.73874,0.55269,12.71,13.6,11.142,40695.99,14806.918,25889.072,0,1
"BLR","Belarus","(1965,1970]",1968,77,0.052122,0.04483,0.067274,0.513758,0.60001,0.396818,9.44,10.002,8.304,29854.306,9357.062,20497.244,0,1
"BLR","Belarus","(1965,1970]",1968,78,0.065252,0.057514,0.082344,0.48771,0.573738,0.37104,8.918,9.438,7.846,26318.466,8067.494,18250.972,0,1
"BLR","Belarus","(1965,1970]",1968,79,0.061988,0.055848,0.076352,0.456884,0.541646,0.341688,8.486,8.966,7.478,24243.642,7255.482,16988.16,0,1
"BLR","Belarus","(1965,1970]",1968,81,0.074868,0.067654,0.092432,0.394038,0.473362,0.285486,7.668,8.104,6.742,18791.868,5571.098,13220.77,0,1
"BLR","Belarus","(1965,1970]",1968,82,0.093486,0.08462,0.114678,0.365674,0.442444,0.26036,7.226,7.636,6.348,16288.036,4892.24,11395.796,0,1
"BLR","Belarus","(1965,1970]",1968,83,0.092342,0.08308,0.113926,0.33302,0.406524,0.232142,6.884,7.27,6.06,14029.698,4232.992,9796.706,0,1
"BLR","Belarus","(1965,1970]",1968,84,0.10589,0.097844,0.12478,0.303668,0.374146,0.207144,6.502,6.854,5.728,12191.228,3687.084,8504.144,0,1
"BLR","Belarus","(1965,1970]",1968,85,0.11666,0.107974,0.136764,0.273144,0.339254,0.18285,6.172,6.506,5.424,10503.584,3165.112,7338.472,0,1
"BLR","Belarus","(1965,1970]",1968,86,0.12935,0.120646,0.150074,0.243106,0.30459,0.159476,5.872,6.192,5.146,8808.642,2622.386,6186.256,0,1
